age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
52,4,0,1,0,-607,1,0,0,13,8,449,6,-1,0,3,0
60,4,0,2,0,581,1,0,0,8,1,89,2,-1,0,3,0
52,0,0,3,0,0,0,0,0,26,1,168,4,-1,0,3,0
41,10,0,2,0,-198,1,0,0,17,9,165,1,-1,0,3,0
50,7,0,1,0,641,0,0,0,25,8,128,3,-1,0,3,0
34,7,0,1,0,0,1,1,2,20,8,203,1,-1,0,3,0
55,9,0,2,0,525,1,0,0,15,8,28,8,366,4,1,0
57,2,0,2,0,873,0,0,2,17,6,441,3,-1,0,3,0
48,7,0,3,0,973,0,0,0,8,10,319,1,134,2,2,1
53,1,0,0,0,-1,1,0,0,2,3,138,3,5,1,1,0
50,7,0,1,0,81,0,0,0,8,8,746,2,-1,0,3,0
59,10,0,1,0,2026,0,0,0,2,6,395,1,-1,0,3,0
81,5,0,3,0,0,0,0,1,16,10,128,1,-1,0,3,0
42,6,0,1,0,35,1,1,0,18,8,163,1,-1,0,3,0
48,1,0,1,0,602,1,0,2,12,8,231,1,-1,0,3,0
49,6,0,2,0,3293,0,0,0,8,7,111,3,585,6,1,0
47,9,0,1,0,440,0,0,0,29,4,147,1,-1,0,3,0
41,4,0,2,0,902,1,0,0,3,0,134,1,-1,0,3,0
59,5,0,1,0,319,0,0,0,24,5,129,1,-1,0,3,0
57,4,0,2,0,408,1,0,0,13,8,402,2,351,1,0,0
32,4,0,2,0,530,1,0,0,3,0,170,1,-1,0,3,0
46,0,0,1,0,1342,1,0,0,4,3,135,1,-1,0,3,0
79,5,0,0,0,336,0,0,0,6,10,386,1,184,1,1,0
35,11,0,0,0,3888,0,0,2,26,8,422,5,-1,0,3,0
55,9,0,1,1,284,1,0,0,7,1,78,2,-1,0,3,0
48,0,0,1,0,0,0,1,0,11,5,487,3,-1,0,3,0
43,4,0,2,0,2367,0,0,0,22,11,83,1,113,3,2,1
42,0,0,1,0,0,1,1,2,18,6,185,4,-1,0,3,0
34,0,0,1,0,1927,0,1,0,18,5,142,2,-1,0,3,0
60,4,0,2,0,366,0,0,0,3,6,593,1,-1,0,3,1
39,4,0,2,0,155,1,0,0,20,9,20,6,153,26,0,0
41,7,0,1,0,0,1,0,0,9,5,126,1,-1,0,3,0
42,1,0,1,0,898,1,0,0,10,5,347,1,-1,0,3,0
54,4,0,2,0,3222,0,0,0,14,1,67,2,-1,0,3,0
53,0,0,1,0,-112,0,0,2,19,6,394,1,-1,0,3,0
44,9,0,1,0,2340,0,0,0,29,5,637,3,-1,0,3,0
47,9,0,1,0,191,0,0,0,19,1,228,5,-1,0,3,0
37,9,0,1,0,531,0,0,2,17,6,150,7,-1,0,3,0
49,4,0,2,0,178,0,0,0,6,1,174,2,-1,0,3,0
46,4,0,2,0,4917,1,1,0,31,5,5,2,-1,0,3,0
35,0,0,1,0,148,0,1,0,8,5,199,1,-1,0,3,0
31,1,0,1,0,-277,1,0,1,17,5,1008,2,-1,0,3,1
49,0,0,1,0,-203,1,0,2,27,8,364,2,-1,0,3,0
39,9,0,1,0,17441,1,1,0,7,0,1,1,-1,0,3,0
37,6,0,2,0,60,0,1,2,4,5,426,3,-1,0,3,0
47,1,0,0,0,556,1,0,2,14,8,227,4,-1,0,3,0
54,9,0,1,0,1252,1,0,0,11,8,101,1,350,1,0,0
46,0,0,2,0,-363,0,1,0,30,5,96,11,-1,0,3,0
51,4,0,2,0,-202,0,0,0,19,1,504,4,-1,0,3,0
45,2,0,2,0,0,1,0,0,13,8,325,2,-1,0,3,0
48,0,0,1,0,-513,1,0,0,5,8,54,4,362,1,1,0
42,0,0,1,0,2133,1,0,0,5,8,89,5,-1,0,3,0
36,1,0,3,0,0,1,0,2,9,8,377,1,-1,0,3,0
39,9,0,1,0,1222,1,0,2,23,8,451,4,-1,0,3,0
44,7,0,1,0,0,1,1,2,13,8,97,1,-1,0,3,0
50,4,0,1,0,2,0,0,0,19,9,208,1,-1,0,3,0
41,0,0,1,0,348,1,0,2,27,8,233,3,-1,0,3,0
43,1,0,0,0,92,1,0,2,15,8,237,2,-1,0,3,0
51,1,0,1,0,113,0,0,0,15,8,71,3,-1,0,3,0
31,0,0,1,0,-186,1,0,0,20,0,21,5,-1,0,3,0
55,7,0,1,0,141,1,0,2,6,8,262,2,-1,0,3,0
68,5,0,0,0,250,0,0,0,3,3,360,1,-1,0,3,1
53,5,0,1,0,-172,1,1,0,17,0,66,1,-1,0,3,0
40,7,0,3,0,4384,1,0,2,5,8,315,1,-1,0,3,0
39,9,0,2,1,3,0,0,0,6,8,488,1,-1,0,3,1
48,9,0,1,0,177,1,0,2,8,8,471,1,-1,0,3,0
45,0,0,1,0,-121,1,0,2,3,6,197,5,-1,0,3,0
53,5,0,1,0,-477,0,0,0,17,5,235,2,-1,0,3,0
55,7,0,1,0,379,0,0,0,27,8,275,3,219,2,1,0
58,7,0,1,0,796,0,0,0,18,1,102,7,-1,0,3,0
54,9,0,1,0,859,0,1,0,21,5,710,1,-1,0,3,1
45,2,0,2,0,1273,1,1,0,20,9,206,2,162,3,0,0
53,4,0,2,0,253,0,0,0,27,1,202,6,-1,0,3,0
33,7,0,1,0,2411,1,0,0,15,8,360,1,-1,0,3,0
40,6,0,2,0,1077,0,0,0,19,9,309,1,-1,0,3,0
28,0,0,1,0,-504,1,1,0,14,8,578,1,-1,0,3,1
35,0,0,1,0,0,1,1,0,17,9,86,2,-1,0,3,0
43,4,0,3,0,7702,0,0,0,1,11,108,7,102,3,2,0
47,4,0,2,0,310,0,0,0,29,1,136,2,-1,0,3,0
60,0,0,1,0,12039,0,0,1,12,10,261,1,187,1,2,1
53,0,0,1,0,372,0,1,0,2,3,126,2,-1,0,3,0
