poutcome,pdays,previous,contact,campaign,day,housing,marital,y
3,-1,0,0,6,13,1,0,0
3,-1,0,0,2,8,1,0,0
3,-1,0,0,4,26,0,0,0
3,-1,0,0,1,17,1,0,0
3,-1,0,0,3,25,0,0,0
3,-1,0,2,1,20,1,0,0
1,366,4,0,8,15,1,0,0
3,-1,0,2,3,17,0,0,0
2,134,2,0,1,8,0,0,1
1,5,1,0,3,2,1,0,0
3,-1,0,0,2,8,0,0,0
3,-1,0,0,1,2,0,0,0
3,-1,0,1,1,16,0,0,0
3,-1,0,0,1,18,1,0,0
3,-1,0,2,1,12,1,0,0
1,585,6,0,3,8,0,0,0
3,-1,0,0,1,29,0,0,0
3,-1,0,0,1,3,1,0,0
3,-1,0,0,1,24,0,0,0
0,351,1,0,2,13,1,0,0
3,-1,0,0,1,3,1,0,0
3,-1,0,0,1,4,1,0,0
1,184,1,0,1,6,0,0,0
3,-1,0,2,5,26,0,0,0
3,-1,0,0,2,7,1,0,0
3,-1,0,0,3,11,0,0,0
2,113,3,0,1,22,0,0,1
3,-1,0,2,4,18,1,0,0
3,-1,0,0,2,18,0,0,0
3,-1,0,0,1,3,0,0,1
0,153,26,0,6,20,1,0,0
3,-1,0,0,1,9,1,0,0
3,-1,0,0,1,10,1,0,0
3,-1,0,0,2,14,0,0,0
3,-1,0,2,1,19,0,0,0
3,-1,0,0,3,29,0,0,0
3,-1,0,0,5,19,0,0,0
3,-1,0,2,7,17,0,0,0
3,-1,0,0,2,6,0,0,0
3,-1,0,0,2,31,1,0,0
3,-1,0,0,1,8,0,0,0
3,-1,0,1,2,17,1,0,1
3,-1,0,2,2,27,1,0,0
3,-1,0,0,1,7,1,0,0
3,-1,0,2,3,4,0,0,0
3,-1,0,2,4,14,1,0,0
0,350,1,0,1,11,1,0,0
3,-1,0,0,11,30,0,0,0
3,-1,0,0,4,19,0,0,0
3,-1,0,0,2,13,1,0,0
1,362,1,0,4,5,1,0,0
3,-1,0,0,5,5,1,0,0
3,-1,0,2,1,9,1,0,0
3,-1,0,2,4,23,1,0,0
3,-1,0,2,1,13,1,0,0
3,-1,0,0,1,19,0,0,0
3,-1,0,2,3,27,1,0,0
3,-1,0,2,2,15,1,0,0
3,-1,0,0,3,15,0,0,0
3,-1,0,0,5,20,1,0,0
3,-1,0,2,2,6,1,0,0
3,-1,0,0,1,3,0,0,1
3,-1,0,0,1,17,1,0,0
3,-1,0,2,1,5,1,0,0
3,-1,0,0,1,6,0,0,1
3,-1,0,2,1,8,1,0,0
3,-1,0,2,5,3,1,0,0
3,-1,0,0,2,17,0,0,0
1,219,2,0,3,27,0,0,0
3,-1,0,0,7,18,0,0,0
3,-1,0,0,1,21,0,0,1
0,162,3,0,2,20,1,0,0
3,-1,0,0,6,27,0,0,0
3,-1,0,0,1,15,1,0,0
3,-1,0,0,1,19,0,0,0
3,-1,0,0,1,14,1,0,1
3,-1,0,0,2,17,1,0,0
2,102,3,0,7,1,0,0,0
3,-1,0,0,2,29,0,0,0
2,187,1,1,1,12,0,0,1
3,-1,0,0,2,2,0,0,0
3,-1,0,2,2,6,1,0,0
3,-1,0,2,2,26,1,0,0
3,-1,0,1,1,9,0,0,0
3,-1,0,1,2,14,0,0,1
3,-1,0,0,1,7,0,0,1
0,270,3,0,1,3,1,0,1
3,-1,0,2,1,8,1,0,0
0,227,2,0,1,26,0,0,0
3,-1,0,1,1,20,1,0,0
3,-1,0,0,1,4,0,0,1
3,-1,0,2,1,14,1,0,0
3,-1,0,0,2,5,0,0,0
3,-1,0,0,1,10,1,0,0
3,-1,0,2,1,5,0,0,1
3,-1,0,0,3,15,1,0,1
3,-1,0,1,8,31,1,0,0
3,-1,0,0,2,17,1,0,0
3,-1,0,0,3,19,0,0,0
3,-1,0,2,2,8,1,0,0
3,-1,0,1,28,27,0,0,0
0,350,1,0,1,15,1,0,0
3,-1,0,2,2,27,1,0,0
3,-1,0,0,4,9,0,0,0
3,-1,0,0,1,8,1,0,1
3,-1,0,0,2,20,0,0,0
3,-1,0,0,16,25,1,0,0
3,-1,0,1,1,7,0,0,0
3,-1,0,0,2,28,0,0,0
3,-1,0,2,1,8,1,0,1
3,-1,0,1,4,7,1,0,0
3,-1,0,2,6,20,0,0,0
3,-1,0,0,2,7,0,0,0
3,-1,0,0,2,18,0,0,0
3,-1,0,0,4,6,0,0,1
3,-1,0,0,17,18,1,0,0
3,-1,0,0,1,31,0,0,0
3,-1,0,0,2,29,1,0,0
3,-1,0,0,1,2,1,0,0
3,-1,0,0,1,3,0,0,1
3,-1,0,0,3,12,1,0,0
3,-1,0,2,1,11,0,0,0
3,-1,0,2,2,18,1,0,0
3,-1,0,0,3,18,1,0,1
3,-1,0,2,2,4,1,0,0
3,-1,0,0,12,28,0,0,0
3,-1,0,0,1,8,1,0,0
3,-1,0,2,1,5,0,0,0
1,269,2,0,3,20,1,0,0
0,190,1,0,1,20,1,0,0
3,-1,0,0,1,17,1,0,0
3,-1,0,0,3,12,1,0,0
3,-1,0,0,1,23,0,0,0
