age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
44,4,0,2,0,12392,1,0,0,13,8,177,3,343,1,1,0
41,10,0,2,0,0,0,0,0,30,10,373,3,-1,0,3,1
31,9,0,3,0,14533,0,0,0,16,6,245,2,-1,0,3,1
34,7,0,1,0,81,1,1,0,9,5,90,1,-1,0,3,0
32,4,0,2,0,134,0,1,0,29,1,162,2,-1,0,3,0
59,5,0,1,0,8107,0,0,2,30,8,210,1,-1,0,3,0
48,0,0,0,0,607,0,0,2,20,6,29,2,-1,0,3,0
46,0,0,1,0,659,1,0,1,29,5,1127,11,-1,0,3,1
59,5,0,0,0,0,0,0,2,17,6,192,1,-1,0,3,0
37,0,0,1,0,7,1,0,0,27,8,224,7,105,1,1,0
57,2,0,1,0,1037,1,1,2,15,8,112,1,-1,0,3,0
60,5,0,0,0,1369,0,1,0,28,4,100,2,-1,0,3,0
30,4,0,2,0,32,1,0,2,6,8,122,3,-1,0,3,0
35,1,0,1,0,3181,1,0,0,18,8,28,6,-1,0,3,0
32,4,0,2,0,0,0,0,0,29,1,183,2,-1,0,3,0
47,2,0,3,1,-1445,1,0,2,12,8,379,2,-1,0,3,0
42,1,0,1,0,273,0,0,2,12,6,315,1,-1,0,3,0
51,0,0,1,0,227,0,0,0,5,1,231,1,-1,0,3,0
38,2,0,1,0,0,1,1,0,19,9,418,2,-1,0,3,0
35,0,0,1,0,3487,1,0,0,17,0,323,2,319,1,0,0
33,1,0,2,0,6138,1,0,2,20,8,369,1,-1,0,3,0
42,9,0,3,0,0,0,0,2,11,6,241,1,-1,0,3,0
35,9,0,1,0,1577,1,1,0,17,1,80,1,273,1,0,0
31,0,0,1,0,12,1,0,0,24,5,306,1,-1,0,3,0
57,9,0,2,0,4043,1,0,0,7,1,122,4,-1,0,3,0
39,1,0,3,0,0,0,0,0,2,3,731,1,193,3,0,0
30,1,0,0,0,1023,1,0,2,21,8,168,3,-1,0,3,0
45,0,0,3,0,1783,0,0,2,20,6,11,11,-1,0,3,0
48,1,0,1,0,48,1,1,2,29,8,144,1,-1,0,3,0
42,2,0,2,0,171,1,0,0,14,8,135,1,176,5,0,0
35,2,0,2,0,753,0,0,0,7,1,187,4,-1,0,3,0
46,9,0,1,0,190,1,0,0,12,1,370,2,-1,0,3,0
55,9,0,1,0,2014,1,1,2,15,8,253,2,-1,0,3,0
40,4,0,2,0,185,0,0,0,21,1,310,2,-1,0,3,0
51,2,0,1,1,-2082,0,1,0,28,5,123,6,-1,0,3,0
33,1,0,0,0,276,0,0,2,30,6,224,2,-1,0,3,0
64,5,0,0,0,48,0,0,0,9,11,167,3,92,1,2,1
