age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
52,management,divorced,secondary,no,-607,yes,no,cellular,13,may,449,6,-1,0,unknown,no
60,management,divorced,tertiary,no,581,yes,no,cellular,8,aug,89,2,-1,0,unknown,no
52,admin.,divorced,unknown,no,0,no,no,cellular,26,aug,168,4,-1,0,unknown,no
41,unemployed,divorced,tertiary,no,-198,yes,no,cellular,17,nov,165,1,-1,0,unknown,no
50,services,divorced,secondary,no,641,no,no,cellular,25,may,128,3,-1,0,unknown,no
34,services,divorced,secondary,no,0,yes,yes,unknown,20,may,203,1,-1,0,unknown,no
55,technician,divorced,tertiary,no,525,yes,no,cellular,15,may,28,8,366,4,other,no
57,entrepreneur,divorced,tertiary,no,873,no,no,unknown,17,jun,441,3,-1,0,unknown,no
48,services,divorced,unknown,no,973,no,no,cellular,8,oct,319,1,134,2,success,yes
53,blue-collar,divorced,primary,no,-1,yes,no,cellular,2,feb,138,3,5,1,other,no
50,services,divorced,secondary,no,81,no,no,cellular,8,may,746,2,-1,0,unknown,no
59,unemployed,divorced,secondary,no,2026,no,no,cellular,2,jun,395,1,-1,0,unknown,no
81,retired,divorced,unknown,no,0,no,no,telephone,16,oct,128,1,-1,0,unknown,no
42,self-employed,divorced,secondary,no,35,yes,yes,cellular,18,may,163,1,-1,0,unknown,no
48,blue-collar,divorced,secondary,no,602,yes,no,unknown,12,may,231,1,-1,0,unknown,no
49,self-employed,divorced,tertiary,no,3293,no,no,cellular,8,mar,111,3,585,6,other,no
47,technician,divorced,secondary,no,440,no,no,cellular,29,jan,147,1,-1,0,unknown,no
41,management,divorced,tertiary,no,902,yes,no,cellular,3,apr,134,1,-1,0,unknown,no
59,retired,divorced,secondary,no,319,no,no,cellular,24,jul,129,1,-1,0,unknown,no
57,management,divorced,tertiary,no,408,yes,no,cellular,13,may,402,2,351,1,failure,no
32,management,divorced,tertiary,no,530,yes,no,cellular,3,apr,170,1,-1,0,unknown,no
46,admin.,divorced,secondary,no,1342,yes,no,cellular,4,feb,135,1,-1,0,unknown,no
79,retired,divorced,primary,no,336,no,no,cellular,6,oct,386,1,184,1,other,no
35,unknown,divorced,primary,no,3888,no,no,unknown,26,may,422,5,-1,0,unknown,no
55,technician,divorced,secondary,yes,284,yes,no,cellular,7,aug,78,2,-1,0,unknown,no
48,admin.,divorced,secondary,no,0,no,yes,cellular,11,jul,487,3,-1,0,unknown,no
43,management,divorced,tertiary,no,2367,no,no,cellular,22,sep,83,1,113,3,success,yes
42,admin.,divorced,secondary,no,0,yes,yes,unknown,18,jun,185,4,-1,0,unknown,no
34,admin.,divorced,secondary,no,1927,no,yes,cellular,18,jul,142,2,-1,0,unknown,no
60,management,divorced,tertiary,no,366,no,no,cellular,3,jun,593,1,-1,0,unknown,yes
39,management,divorced,tertiary,no,155,yes,no,cellular,20,nov,20,6,153,26,failure,no
41,services,divorced,secondary,no,0,yes,no,cellular,9,jul,126,1,-1,0,unknown,no
42,blue-collar,divorced,secondary,no,898,yes,no,cellular,10,jul,347,1,-1,0,unknown,no
