poutcome,pdays,previous,contact,campaign,day,housing,marital,y
1,343,1,0,3,13,1,0,0
3,-1,0,0,3,30,0,0,1
3,-1,0,0,2,16,0,0,1
3,-1,0,0,1,9,1,0,0
3,-1,0,0,2,29,0,0,0
3,-1,0,2,1,30,0,0,0
3,-1,0,2,2,20,0,0,0
3,-1,0,1,11,29,1,0,1
3,-1,0,2,1,17,0,0,0
1,105,1,0,7,27,1,0,0
3,-1,0,2,1,15,1,0,0
3,-1,0,0,2,28,0,0,0
3,-1,0,2,3,6,1,0,0
3,-1,0,0,6,18,1,0,0
3,-1,0,0,2,29,0,0,0
3,-1,0,2,2,12,1,0,0
3,-1,0,2,1,12,0,0,0
3,-1,0,0,1,5,0,0,0
3,-1,0,0,2,19,1,0,0
0,319,1,0,2,17,1,0,0
3,-1,0,2,1,20,1,0,0
3,-1,0,2,1,11,0,0,0
0,273,1,0,1,17,1,0,0
3,-1,0,0,1,24,1,0,0
3,-1,0,0,4,7,1,0,0
0,193,3,0,1,2,0,0,0
3,-1,0,2,3,21,1,0,0
3,-1,0,2,11,20,0,0,0
3,-1,0,2,1,29,1,0,0
0,176,5,0,1,14,1,0,0
3,-1,0,0,4,7,0,0,0
3,-1,0,0,2,12,1,0,0
3,-1,0,2,2,15,1,0,0
3,-1,0,0,2,21,0,0,0
3,-1,0,0,6,28,0,0,0
3,-1,0,2,2,30,0,0,0
2,92,1,0,3,9,0,0,1
3,-1,0,2,1,27,0,0,0
3,-1,0,2,1,12,1,0,0
3,-1,0,0,1,16,0,0,1
3,-1,0,0,1,14,1,0,0
3,-1,0,0,4,13,1,0,0
3,-1,0,1,6,18,1,0,0
3,-1,0,0,2,7,0,0,0
1,265,5,0,7,3,1,0,0
3,-1,0,1,3,24,0,0,0
0,90,1,0,1,13,1,0,0
0,120,3,0,1,29,0,0,1
1,2,3,0,1,30,0,0,0
0,461,5,2,1,9,1,0,0
3,-1,0,2,2,20,0,0,1
3,-1,0,2,1,26,1,0,0
3,-1,0,0,1,27,1,0,1
3,-1,0,0,2,20,0,0,0
3,-1,0,0,2,5,0,0,0
3,-1,0,0,5,21,0,0,0
3,-1,0,2,2,6,1,0,0
2,196,1,0,2,30,0,0,1
0,102,2,0,1,18,0,0,0
0,154,1,0,2,18,0,0,0
3,-1,0,0,4,25,0,0,0
0,343,3,0,1,8,1,0,0
0,365,1,1,1,13,1,0,0
3,-1,0,2,1,28,1,0,0
2,175,1,1,3,4,0,0,1
0,339,1,1,1,20,1,0,0
3,-1,0,0,8,28,0,0,0
3,-1,0,2,1,17,1,0,0
3,-1,0,0,4,6,0,0,0
3,-1,0,2,4,18,1,0,0
3,-1,0,0,3,21,1,0,0
3,-1,0,2,3,13,1,0,0
3,-1,0,0,1,17,1,0,0
3,-1,0,1,4,18,0,0,0
3,-1,0,0,13,18,0,0,0
3,-1,0,2,7,2,0,0,0
3,-1,0,2,2,19,0,0,0
3,-1,0,0,2,13,0,0,0
3,-1,0,0,1,7,0,0,0
3,-1,0,0,2,6,0,0,0
0,332,2,0,1,17,1,0,0
0,244,5,0,3,29,1,0,0
0,150,1,2,2,17,1,0,0
3,-1,0,0,4,29,1,0,0
0,172,4,0,3,12,1,0,0
0,370,1,0,1,14,1,0,0
3,-1,0,0,3,30,1,0,0
3,-1,0,2,1,21,1,0,0
3,-1,0,0,2,11,1,0,1
3,-1,0,0,4,19,0,0,0
3,-1,0,0,6,14,1,0,0
3,-1,0,2,3,21,1,0,0
3,-1,0,2,4,19,1,0,0
3,-1,0,2,2,28,1,0,0
1,164,1,1,4,28,1,0,0
3,-1,0,0,3,21,1,0,0
3,-1,0,0,1,10,0,0,0
3,-1,0,0,2,24,1,0,1
2,91,2,0,1,28,0,0,1
3,-1,0,0,1,2,0,0,0
3,-1,0,2,5,3,1,0,0
3,-1,0,2,3,23,1,0,0
3,-1,0,2,1,18,1,0,0
0,225,3,0,1,2,1,0,0
3,-1,0,0,2,28,1,0,0
3,-1,0,0,1,11,1,0,0
3,-1,0,2,4,15,1,0,0
3,-1,0,0,1,9,1,0,0
3,-1,0,0,2,31,1,0,0
3,-1,0,2,1,30,1,0,0
3,-1,0,0,7,14,1,0,0
3,-1,0,0,2,30,0,0,0
3,-1,0,0,3,28,1,0,0
0,253,1,0,2,1,1,0,0
0,367,4,0,1,15,1,0,0
0,99,4,1,2,9,0,0,1
3,-1,0,2,2,29,1,0,0
3,-1,0,0,2,9,0,0,0
3,-1,0,1,1,20,0,0,0
3,-1,0,0,1,2,0,0,1
3,-1,0,0,6,19,0,0,0
3,-1,0,0,6,16,1,0,0
3,-1,0,0,3,17,1,0,0
3,-1,0,2,4,21,1,0,0
