age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,4,0,2,0,5288,1,0,2,28,8,288,3,-1,0,3,0
50,2,0,2,0,0,1,0,2,19,6,638,1,-1,0,3,0
30,7,0,1,0,209,1,0,2,6,8,30,2,-1,0,3,0
31,9,0,1,0,304,0,0,0,29,4,293,2,160,2,1,0
27,9,0,2,0,2781,1,0,0,24,8,168,1,389,1,0,1
29,9,0,1,0,362,0,0,0,9,3,826,7,-1,0,3,0
31,9,0,2,0,321,1,0,2,3,6,25,16,-1,0,3,0
34,9,0,1,0,6053,1,0,2,19,6,26,5,-1,0,3,0
36,4,0,2,0,20,1,0,0,20,0,766,2,150,3,1,0
63,5,0,2,0,791,0,0,0,21,10,212,2,-1,0,3,1
36,4,0,2,0,0,1,0,2,29,8,211,6,-1,0,3,0
41,6,0,2,0,-94,1,0,0,4,3,1164,1,203,1,0,1
41,11,0,1,0,646,1,0,2,29,8,40,2,-1,0,3,0
32,9,0,1,0,230,1,0,0,25,1,256,8,-1,0,3,0
36,0,0,0,0,91,1,0,2,7,8,371,2,-1,0,3,0
38,0,0,1,0,626,0,0,0,2,6,132,4,-1,0,3,0
28,9,0,1,0,390,0,1,0,23,5,475,2,-1,0,3,0
38,9,0,1,0,8637,1,0,0,13,8,193,1,-1,0,3,0
37,6,0,2,0,1004,1,0,2,6,6,377,3,-1,0,3,0
33,9,0,2,0,8874,0,1,2,21,8,152,3,-1,0,3,0
35,2,0,2,1,793,0,1,0,8,5,163,1,-1,0,3,0
35,7,0,1,0,1063,1,1,0,16,0,327,1,-1,0,3,0
25,0,0,1,0,96,1,0,2,9,8,176,2,-1,0,3,0
29,9,0,1,0,309,1,0,2,13,8,214,1,-1,0,3,0
56,5,0,0,0,223,1,0,2,7,8,97,1,-1,0,3,0
25,0,0,1,0,122,1,0,0,7,8,481,2,-1,0,3,1
38,4,0,2,0,1373,0,0,0,22,10,119,4,-1,0,3,0
34,4,0,2,0,0,1,0,2,21,8,311,1,-1,0,3,0
37,1,0,1,0,115,1,0,2,12,8,74,1,-1,0,3,0
34,1,0,1,0,53,1,1,2,5,8,346,1,-1,0,3,0
28,9,0,1,0,1581,0,1,0,7,5,576,2,-1,0,3,0
29,0,0,2,0,41,1,0,0,13,1,148,2,-1,0,3,1
29,4,0,3,0,560,0,0,0,6,5,212,1,92,2,2,0
28,7,0,1,0,45,1,0,2,16,8,345,1,-1,0,3,0
38,1,0,2,0,2885,1,0,2,20,6,1422,10,-1,0,3,1
25,8,0,1,0,963,1,0,0,17,5,28,1,-1,0,3,0
34,4,0,2,0,1612,0,0,0,27,1,108,22,-1,0,3,0
28,8,0,1,0,970,0,0,1,4,1,297,1,-1,0,3,0
36,4,0,2,0,1379,0,0,0,25,8,189,1,186,1,0,1
32,10,0,2,0,336,1,0,2,8,8,139,1,-1,0,3,0
35,0,0,1,0,-32,0,1,0,9,3,63,4,182,5,0,1
28,9,0,1,1,-1042,1,0,2,6,6,712,2,-1,0,3,1
31,4,0,2,0,58,0,0,0,29,1,207,2,-1,0,3,0
51,11,0,3,0,0,0,0,2,5,6,409,1,-1,0,3,0
40,4,0,1,0,269,0,0,2,5,6,128,1,-1,0,3,0
38,4,0,2,0,1515,1,0,0,18,9,134,1,110,5,0,0
32,0,0,2,0,8866,0,0,0,18,7,278,2,-1,0,3,1
29,4,0,2,0,697,0,0,0,30,0,365,1,85,1,2,1
33,6,0,2,0,1354,1,0,0,20,9,130,2,-1,0,3,0
33,9,0,1,0,719,1,0,0,9,0,448,2,316,6,0,1
28,9,0,1,0,389,1,0,0,11,8,15,7,-1,0,3,0
31,9,0,1,0,3588,0,0,1,28,1,64,27,-1,0,3,0
47,0,0,2,0,178,0,0,1,5,3,17,6,-1,0,3,0
33,1,0,1,0,5,1,0,0,31,5,188,3,-1,0,3,0
28,9,0,1,0,5763,0,1,0,5,7,196,2,-1,0,3,1
41,4,0,2,0,4522,0,0,0,28,1,55,1,-1,0,3,0
32,4,0,2,0,616,1,0,0,21,9,186,2,109,1,1,0
45,1,0,1,0,636,1,0,2,16,8,287,4,-1,0,3,0
33,3,0,2,0,1107,1,0,0,18,7,201,1,-1,0,3,1
35,6,0,2,0,670,0,1,0,13,8,44,1,-1,0,3,0
33,1,0,1,0,687,1,0,0,6,3,178,2,273,1,0,0
33,3,0,1,0,96,1,0,0,14,8,30,6,-1,0,3,0
36,7,0,1,0,774,1,0,2,20,8,140,1,-1,0,3,0
31,0,0,0,0,-263,1,0,2,3,6,208,1,-1,0,3,0
30,7,0,1,0,-172,1,1,0,17,0,282,4,329,2,1,0
30,4,0,2,0,1761,1,0,0,15,8,229,2,294,1,1,0
34,1,0,1,0,0,1,0,0,10,5,307,1,-1,0,3,0
34,7,0,1,0,84,1,0,2,23,8,299,1,-1,0,3,0
40,4,0,0,0,259,1,0,0,8,8,70,1,-1,0,3,0
32,4,0,2,0,2629,0,0,0,28,1,77,4,-1,0,3,0
31,0,0,1,0,255,0,0,0,27,5,167,2,181,1,2,0
47,1,0,1,0,1976,0,1,0,20,9,82,1,-1,0,3,0
46,9,0,2,0,2800,0,0,2,5,6,47,1,-1,0,3,0
28,4,0,2,0,2253,1,0,2,18,6,906,2,-1,0,3,0
39,9,0,1,0,14,1,0,0,7,8,72,1,-1,0,3,0
23,1,0,1,0,0,1,0,0,8,8,6,5,350,2,0,0
41,4,0,1,0,-277,1,0,0,12,8,431,1,-1,0,3,0
54,7,0,1,0,559,1,1,2,3,6,242,6,-1,0,3,0
44,10,0,2,0,810,0,0,0,4,1,184,1,-1,0,3,0
33,9,0,1,0,151,1,0,0,20,0,104,3,236,6,0,0
33,0,0,0,0,-258,1,0,0,15,8,158,2,352,2,0,0
26,1,0,1,0,474,1,0,0,15,8,504,2,-1,0,3,0
43,9,0,1,0,54,1,0,0,30,5,62,2,-1,0,3,0
32,4,0,2,0,131,1,0,0,11,1,112,1,81,1,1,0
28,1,0,1,0,1065,1,1,0,17,0,406,1,317,1,0,0
27,4,0,2,0,148,1,0,0,31,5,632,18,-1,0,3,0
31,1,0,1,0,509,1,0,2,23,8,183,1,-1,0,3,0
32,7,0,1,0,6983,0,0,0,7,1,255,1,-1,0,3,1
44,9,0,1,0,54,0,1,0,19,1,199,2,-1,0,3,0
34,1,0,1,0,283,1,0,0,13,8,151,2,-1,0,3,0
25,8,0,2,0,293,0,0,0,12,0,231,1,-1,0,3,0
33,4,0,2,0,2599,1,0,2,23,8,328,3,-1,0,3,0
25,7,0,1,0,-371,1,0,0,18,8,147,2,347,3,1,0
29,4,0,2,0,0,0,0,0,29,5,99,6,-1,0,3,0
29,9,0,1,0,281,1,0,0,7,8,340,1,-1,0,3,0
44,9,0,2,0,643,0,0,0,16,10,324,1,143,3,0,1
40,10,0,1,0,1744,1,0,2,21,8,465,11,-1,0,3,0
33,0,0,1,0,2554,1,0,1,6,0,125,3,249,15,0,0
33,4,0,2,0,541,1,1,2,21,8,572,1,-1,0,3,0
39,4,0,2,0,1914,0,0,0,18,1,94,4,-1,0,3,0
49,0,0,0,0,655,1,0,0,13,8,32,5,-1,0,3,0
46,1,0,0,0,259,0,1,0,31,5,652,7,-1,0,3,0
49,1,0,0,1,-2604,1,0,0,18,9,142,1,-1,0,3,0
38,9,0,2,0,11,0,0,2,18,6,78,3,-1,0,3,0
29,7,0,1,0,703,1,0,2,7,8,129,5,-1,0,3,0
26,4,0,2,0,114,1,0,0,7,8,457,1,-1,0,3,1
31,4,0,2,0,573,0,0,0,12,1,138,2,-1,0,3,0
28,9,0,1,0,216,1,0,2,13,8,66,1,-1,0,3,0
26,4,0,2,0,1274,1,0,0,1,6,190,1,84,1,0,0
53,0,0,1,0,2398,1,0,0,3,3,108,1,92,1,2,0
27,1,0,1,0,535,0,0,0,16,9,183,1,94,1,2,1
34,0,0,1,0,0,1,0,0,2,6,189,2,-1,0,3,0
30,1,0,1,0,183,1,0,0,18,5,610,1,-1,0,3,1
34,4,0,2,0,138,1,0,0,18,8,191,5,-1,0,3,0
28,0,0,1,0,1323,1,0,2,3,6,361,1,-1,0,3,0
37,8,0,3,0,444,0,0,0,4,8,1063,5,-1,0,3,1
29,0,0,1,0,488,1,0,0,4,6,105,1,-1,0,3,0
27,8,0,3,0,1444,0,0,0,2,3,248,2,-1,0,3,0
42,7,0,1,0,3403,1,0,0,7,1,215,1,99,1,0,1
44,11,0,3,0,18881,0,0,0,2,2,187,2,-1,0,3,0
38,2,0,2,0,638,1,0,2,9,8,150,1,-1,0,3,0
29,8,0,2,0,652,1,0,0,22,5,285,1,-1,0,3,0
27,9,0,1,0,337,0,0,2,9,5,23,1,-1,0,3,1
37,4,0,2,0,7612,0,0,0,24,5,1206,4,-1,0,3,0
28,1,0,1,0,759,1,0,2,9,8,710,1,-1,0,3,1
26,6,0,1,0,3676,0,0,0,7,0,148,1,-1,0,3,1
33,7,0,1,0,969,0,0,1,8,5,107,3,-1,0,3,0
41,9,0,1,0,2919,1,0,2,16,8,329,3,-1,0,3,0
38,4,0,2,0,619,1,0,2,6,6,460,4,-1,0,3,1
27,0,0,1,0,15,0,1,0,21,5,177,1,-1,0,3,0
25,9,0,1,0,276,1,0,2,12,8,268,4,-1,0,3,0
28,2,0,2,0,135,1,0,2,21,8,195,1,-1,0,3,0
42,9,0,1,0,-853,1,0,0,11,8,189,1,-1,0,3,0
28,1,0,1,0,1348,1,0,0,6,1,221,2,-1,0,3,1
35,9,0,1,0,449,1,0,0,12,8,245,1,-1,0,3,0
38,9,0,1,0,4366,1,0,0,29,5,188,2,-1,0,3,0
29,6,0,2,0,1579,0,0,0,13,10,190,1,92,5,2,1
23,8,0,2,0,1592,0,0,0,10,1,298,1,-1,0,3,0
37,9,0,1,0,-274,1,0,0,26,1,218,5,-1,0,3,0
24,0,0,1,0,66,1,0,2,3,6,825,1,-1,0,3,0
33,1,0,0,0,611,0,0,1,16,11,390,2,-1,0,3,1
48,2,0,2,0,2313,0,0,2,6,6,130,1,-1,0,3,0
32,9,0,1,0,5118,1,0,0,27,1,263,12,-1,0,3,0
39,9,0,1,0,1048,1,1,0,8,0,201,2,-1,0,3,0
25,9,0,2,0,777,1,0,2,14,8,351,1,-1,0,3,0
27,7,0,1,0,795,0,0,0,6,3,101,3,-1,0,3,0
28,9,0,1,0,-219,1,0,2,12,8,386,2,-1,0,3,0
27,9,0,1,0,439,1,0,0,15,0,1038,2,-1,0,3,1
26,6,0,1,0,467,1,1,2,4,6,90,2,-1,0,3,0
30,4,0,2,0,223,0,0,0,6,1,106,3,-1,0,3,0
25,0,0,2,0,220,0,0,0,26,8,68,1,-1,0,3,0
31,4,0,2,0,630,0,0,0,4,8,95,2,91,2,0,0
37,4,0,2,0,340,0,0,0,11,1,90,4,-1,0,3,0
38,4,0,2,0,16957,1,0,2,27,8,142,2,-1,0,3,0
34,4,0,2,0,808,0,0,0,26,8,376,2,97,1,1,0
35,9,0,2,0,0,0,0,0,14,4,187,7,-1,0,3,1
35,9,0,1,0,354,0,0,0,11,1,444,3,-1,0,3,1
37,1,0,0,0,0,1,1,0,22,5,118,1,-1,0,3,0
58,3,0,2,0,145,1,1,0,16,5,128,2,-1,0,3,0
28,1,0,1,0,-403,0,1,0,23,5,140,2,-1,0,3,0
26,9,0,2,0,77,1,0,2,29,8,125,2,-1,0,3,0
25,9,0,1,0,1298,0,0,0,2,11,206,7,94,2,1,0
28,6,0,2,0,159,0,0,0,16,9,449,2,33,4,2,1
