poutcome,pdays,previous,contact,campaign,day,housing,marital,y
3,-1,0,2,3,28,1,0,0
3,-1,0,2,1,19,1,0,0
3,-1,0,2,2,6,1,0,0
1,160,2,0,2,29,0,0,0
0,389,1,0,1,24,1,0,1
3,-1,0,0,7,9,0,0,0
3,-1,0,2,16,3,1,0,0
3,-1,0,2,5,19,1,0,0
1,150,3,0,2,20,1,0,0
3,-1,0,0,2,21,0,0,1
3,-1,0,2,6,29,1,0,0
0,203,1,0,1,4,1,0,1
3,-1,0,2,2,29,1,0,0
3,-1,0,0,8,25,1,0,0
3,-1,0,2,2,7,1,0,0
3,-1,0,0,4,2,0,0,0
3,-1,0,0,2,23,0,0,0
3,-1,0,0,1,13,1,0,0
3,-1,0,2,3,6,1,0,0
3,-1,0,2,3,21,0,0,0
3,-1,0,0,1,8,0,0,0
3,-1,0,0,1,16,1,0,0
3,-1,0,2,2,9,1,0,0
3,-1,0,2,1,13,1,0,0
3,-1,0,2,1,7,1,0,0
3,-1,0,0,2,7,1,0,1
3,-1,0,0,4,22,0,0,0
3,-1,0,2,1,21,1,0,0
3,-1,0,2,1,12,1,0,0
3,-1,0,2,1,5,1,0,0
3,-1,0,0,2,7,0,0,0
3,-1,0,0,2,13,1,0,1
2,92,2,0,1,6,0,0,0
3,-1,0,2,1,16,1,0,0
3,-1,0,2,10,20,1,0,1
3,-1,0,0,1,17,1,0,0
3,-1,0,0,22,27,0,0,0
3,-1,0,1,1,4,0,0,0
0,186,1,0,1,25,0,0,1
3,-1,0,2,1,8,1,0,0
0,182,5,0,4,9,0,0,1
3,-1,0,2,2,6,1,0,1
3,-1,0,0,2,29,0,0,0
3,-1,0,2,1,5,0,0,0
3,-1,0,2,1,5,0,0,0
0,110,5,0,1,18,1,0,0
3,-1,0,0,2,18,0,0,1
2,85,1,0,1,30,0,0,1
3,-1,0,0,2,20,1,0,0
0,316,6,0,2,9,1,0,1
3,-1,0,0,7,11,1,0,0
3,-1,0,1,27,28,0,0,0
3,-1,0,1,6,5,0,0,0
3,-1,0,0,3,31,1,0,0
3,-1,0,0,2,5,0,0,1
3,-1,0,0,1,28,0,0,0
1,109,1,0,2,21,1,0,0
3,-1,0,2,4,16,1,0,0
3,-1,0,0,1,18,1,0,1
3,-1,0,0,1,13,0,0,0
0,273,1,0,2,6,1,0,0
3,-1,0,0,6,14,1,0,0
3,-1,0,2,1,20,1,0,0
3,-1,0,2,1,3,1,0,0
1,329,2,0,4,17,1,0,0
1,294,1,0,2,15,1,0,0
3,-1,0,0,1,10,1,0,0
3,-1,0,2,1,23,1,0,0
3,-1,0,0,1,8,1,0,0
3,-1,0,0,4,28,0,0,0
2,181,1,0,2,27,0,0,0
3,-1,0,0,1,20,0,0,0
3,-1,0,2,1,5,0,0,0
3,-1,0,2,2,18,1,0,0
3,-1,0,0,1,7,1,0,0
0,350,2,0,5,8,1,0,0
3,-1,0,0,1,12,1,0,0
3,-1,0,2,6,3,1,0,0
3,-1,0,0,1,4,0,0,0
0,236,6,0,3,20,1,0,0
0,352,2,0,2,15,1,0,0
3,-1,0,0,2,15,1,0,0
3,-1,0,0,2,30,1,0,0
1,81,1,0,1,11,1,0,0
0,317,1,0,1,17,1,0,0
3,-1,0,0,18,31,1,0,0
3,-1,0,2,1,23,1,0,0
3,-1,0,0,1,7,0,0,1
3,-1,0,0,2,19,0,0,0
3,-1,0,0,2,13,1,0,0
3,-1,0,0,1,12,0,0,0
3,-1,0,2,3,23,1,0,0
1,347,3,0,2,18,1,0,0
3,-1,0,0,6,29,0,0,0
3,-1,0,0,1,7,1,0,0
0,143,3,0,1,16,0,0,1
3,-1,0,2,11,21,1,0,0
0,249,15,1,3,6,1,0,0
3,-1,0,2,1,21,1,0,0
3,-1,0,0,4,18,0,0,0
3,-1,0,0,5,13,1,0,0
3,-1,0,0,7,31,0,0,0
3,-1,0,0,1,18,1,0,0
3,-1,0,2,3,18,0,0,0
3,-1,0,2,5,7,1,0,0
